Surah,Ayah,Text,Char_Length,Casefolding,Tokenizing
9,37,"Sesungguhnya mengundur-undurkan bulan haram itu adalah menambah kekafiran. Disesatkan orang-orang yang kafir dengan mengundur-undurkan itu, mereka menghalalkannya pada suatu tahun dan mengharamkannya pada tahun yang lain, agar mereka dapat mempersesuaikan dengan bilangan yang Allah mengharamkannya, maka mereka menghalalkan apa yang diharamkan Allah. (Syaitan) menjadikan mereka memandang perbuatan mereka yang buruk itu. Dan Allah tidak memberi petunjuk kepada orang-orang yang kafir.",486,sesungguhnya mengundur undurkan bulan haram itu adalah menambah kekafiran disesatkan orang orang yang kafir dengan mengundur undurkan itu mereka menghalalkannya pada suatu tahun dan mengharamkannya pada tahun yang lain agar mereka dapat mempersesuaikan dengan bilangan yang allah mengharamkannya maka mereka menghalalkan apa yang diharamkan allah syaitan menjadikan mereka memandang perbuatan mereka yang buruk itu dan allah tidak memberi petunjuk kepada orang orang yang kafir ,"['sesungguhnya', 'mengundur', 'undurkan', 'bulan', 'haram', 'itu', 'adalah', 'menambah', 'kekafiran', 'disesatkan', 'orang', 'orang', 'yang', 'kafir', 'dengan', 'mengundur', 'undurkan', 'itu', 'mereka', 'menghalalkannya', 'pada', 'suatu', 'tahun', 'dan', 'mengharamkannya', 'pada', 'tahun', 'yang', 'lain', 'agar', 'mereka', 'dapat', 'mempersesuaikan', 'dengan', 'bilangan', 'yang', 'allah', 'mengharamkannya', 'maka', 'mereka', 'menghalalkan', 'apa', 'yang', 'diharamkan', 'allah', 'syaitan', 'menjadikan', 'mereka', 'memandang', 'perbuatan', 'mereka', 'yang', 'buruk', 'itu', 'dan', 'allah', 'tidak', 'memberi', 'petunjuk', 'kepada', 'orang', 'orang', 'yang', 'kafir']"
9,38,"Hai orang-orang yang beriman, apakah sebabnya bila dikatakan kepadamu: ""Berangkatlah (untuk berperang) pada jalan Allah"" kamu merasa berat dan ingin tinggal di tempatmu? Apakah kamu puas dengan kehidupan di dunia sebagai ganti kehidupan di akhirat? Padahal kenikmatan hidup di dunia ini (dibandingkan dengan kehidupan) diakhirat hanyalah sedikit.",346,hai orang orang yang beriman apakah sebabnya bila dikatakan kepadamu berangkatlah untuk berperang pada jalan allah kamu merasa berat dan ingin tinggal di tempatmu apakah kamu puas dengan kehidupan di dunia sebagai ganti kehidupan di akhirat padahal kenikmatan hidup di dunia ini dibandingkan dengan kehidupan diakhirat hanyalah sedikit ,"['hai', 'orang', 'orang', 'yang', 'beriman', 'apakah', 'sebabnya', 'bila', 'dikatakan', 'kepadamu', 'berangkatlah', 'untuk', 'berperang', 'pada', 'jalan', 'allah', 'kamu', 'merasa', 'berat', 'dan', 'ingin', 'tinggal', 'di', 'tempatmu', 'apakah', 'kamu', 'puas', 'dengan', 'kehidupan', 'di', 'dunia', 'sebagai', 'ganti', 'kehidupan', 'di', 'akhirat', 'padahal', 'kenikmatan', 'hidup', 'di', 'dunia', 'ini', 'dibandingkan', 'dengan', 'kehidupan', 'diakhirat', 'hanyalah', 'sedikit']"
9,39,"Jika kamu tidak berangkat untuk berperang, niscaya Allah menyiksa kamu dengan siksa yang pedih dan digantinya (kamu) dengan kaum yang lain, dan kamu tidak akan dapat memberi kemudharatan kepada-Nya sedikitpun. Allah Maha Kuasa atas segala sesuatu.",247,jika kamu tidak berangkat untuk berperang niscaya allah menyiksa kamu dengan siksa yang pedih dan digantinya kamu dengan kaum yang lain dan kamu tidak akan dapat memberi kemudharatan kepada nya sedikitpun allah maha kuasa atas segala sesuatu ,"['jika', 'kamu', 'tidak', 'berangkat', 'untuk', 'berperang', 'niscaya', 'allah', 'menyiksa', 'kamu', 'dengan', 'siksa', 'yang', 'pedih', 'dan', 'digantinya', 'kamu', 'dengan', 'kaum', 'yang', 'lain', 'dan', 'kamu', 'tidak', 'akan', 'dapat', 'memberi', 'kemudharatan', 'kepada', 'nya', 'sedikitpun', 'allah', 'maha', 'kuasa', 'atas', 'segala', 'sesuatu']"
9,40,"Jikalau kamu tidak menolongnya (Muhammad) maka sesungguhnya Allah telah menolongnya (yaitu) ketika orang-orang kafir (musyrikin Mekah) mengeluarkannya (dari Mekah) sedang dia salah seorang dari dua orang ketika keduanya berada dalam gua, di waktu dia berkata kepada temannya: ""Janganlah kamu berduka cita, sesungguhnya Allah beserta kita"". Maka Allah menurunkan keterangan-Nya kepada (Muhammad) dan membantunya dengan tentara yang kamu tidak melihatnya, dan Al-Quran menjadikan orang-orang kafir itulah yang rendah. Dan kalimat Allah itulah yang tinggi. Allah Maha Perkasa lagi Maha Bijaksana.",593,jikalau kamu tidak menolongnya muhammad maka sesungguhnya allah telah menolongnya yaitu ketika orang orang kafir musyrikin mekah mengeluarkannya dari mekah sedang dia salah seorang dari dua orang ketika keduanya berada dalam gua di waktu dia berkata kepada temannya janganlah kamu berduka cita sesungguhnya allah bese a kita maka allah menurunkan keterangan nya kepada muhammad dan membantunya dengan tentara yang kamu tidak melihatnya dan al quran menjadikan orang orang kafir itulah yang rendah dan kalimat allah itulah yang tinggi allah maha perkasa lagi maha bijaksana ,"['jikalau', 'kamu', 'tidak', 'menolongnya', 'muhammad', 'maka', 'sesungguhnya', 'allah', 'telah', 'menolongnya', 'yaitu', 'ketika', 'orang', 'orang', 'kafir', 'musyrikin', 'mekah', 'mengeluarkannya', 'dari', 'mekah', 'sedang', 'dia', 'salah', 'seorang', 'dari', 'dua', 'orang', 'ketika', 'keduanya', 'berada', 'dalam', 'gua', 'di', 'waktu', 'dia', 'berkata', 'kepada', 'temannya', 'janganlah', 'kamu', 'berduka', 'cita', 'sesungguhnya', 'allah', 'bese', 'a', 'kita', 'maka', 'allah', 'menurunkan', 'keterangan', 'nya', 'kepada', 'muhammad', 'dan', 'membantunya', 'dengan', 'tentara', 'yang', 'kamu', 'tidak', 'melihatnya', 'dan', 'al', 'quran', 'menjadikan', 'orang', 'orang', 'kafir', 'itulah', 'yang', 'rendah', 'dan', 'kalimat', 'allah', 'itulah', 'yang', 'tinggi', 'allah', 'maha', 'perkasa', 'lagi', 'maha', 'bijaksana']"
9,41,"Berangkatlah kamu baik dalam keadaan merasa ringan maupun berat, dan berjihadlah kamu dengan harta dan dirimu di jalan Allah. Yang demikian itu adalah lebih baik bagimu, jika kamu mengetahui.",191,berangkatlah kamu baik dalam keadaan merasa ringan maupun berat dan berjihadlah kamu dengan ha a dan dirimu di jalan allah yang demikian itu adalah lebih baik bagimu jika kamu mengetahui ,"['berangkatlah', 'kamu', 'baik', 'dalam', 'keadaan', 'merasa', 'ringan', 'maupun', 'berat', 'dan', 'berjihadlah', 'kamu', 'dengan', 'ha', 'a', 'dan', 'dirimu', 'di', 'jalan', 'allah', 'yang', 'demikian', 'itu', 'adalah', 'lebih', 'baik', 'bagimu', 'jika', 'kamu', 'mengetahui']"
9,42,"Kalau yang kamu serukan kepada mereka itu keuntungan yang mudah diperoleh dan perjalanan yang tidak seberapa jauh, pastilah mereka mengikutimu, tetapi tempat yang dituju itu amat jauh terasa oleh mereka. Mereka akan bersumpah dengan (nama) Allah: ""Jikalau kami sanggup tentulah kami berangkat bersama-samamu"". Mereka membinasakan diri mereka sendiri dan Allah mengetahui bahwa sesungguhnya mereka benar-benar orang-orang yang berdusta.",435,kalau yang kamu serukan kepada mereka itu keuntungan yang mudah diperoleh dan perjalanan yang tidak seberapa jauh pastilah mereka mengikutimu tetapi tempat yang dituju itu amat jauh terasa oleh mereka mereka akan bersumpah dengan nama allah jikalau kami sanggup tentulah kami berangkat bersama samamu mereka membinasakan diri mereka sendiri dan allah mengetahui bahwa sesungguhnya mereka benar benar orang orang yang berdusta ,"['kalau', 'yang', 'kamu', 'serukan', 'kepada', 'mereka', 'itu', 'keuntungan', 'yang', 'mudah', 'diperoleh', 'dan', 'perjalanan', 'yang', 'tidak', 'seberapa', 'jauh', 'pastilah', 'mereka', 'mengikutimu', 'tetapi', 'tempat', 'yang', 'dituju', 'itu', 'amat', 'jauh', 'terasa', 'oleh', 'mereka', 'mereka', 'akan', 'bersumpah', 'dengan', 'nama', 'allah', 'jikalau', 'kami', 'sanggup', 'tentulah', 'kami', 'berangkat', 'bersama', 'samamu', 'mereka', 'membinasakan', 'diri', 'mereka', 'sendiri', 'dan', 'allah', 'mengetahui', 'bahwa', 'sesungguhnya', 'mereka', 'benar', 'benar', 'orang', 'orang', 'yang', 'berdusta']"
9,43,"Semoga Allah memaafkanmu. Mengapa kamu memberi izin kepada mereka (untuk tidak pergi berperang), sebelum jelas bagimu orang-orang yang benar (dalam keuzurannya) dan sebelum kamu ketahui orang-orang yang berdusta?",212,semoga allah memaafkanmu mengapa kamu memberi izin kepada mereka untuk tidak pergi berperang sebelum jelas bagimu orang orang yang benar dalam keuzurannya dan sebelum kamu ketahui orang orang yang berdusta ,"['semoga', 'allah', 'memaafkanmu', 'mengapa', 'kamu', 'memberi', 'izin', 'kepada', 'mereka', 'untuk', 'tidak', 'pergi', 'berperang', 'sebelum', 'jelas', 'bagimu', 'orang', 'orang', 'yang', 'benar', 'dalam', 'keuzurannya', 'dan', 'sebelum', 'kamu', 'ketahui', 'orang', 'orang', 'yang', 'berdusta']"
9,44,"Orang-orang yang beriman kepada Allah dan hari kemudian, tidak akan meminta izin kepadamu untuk tidak ikut berjihad dengan harta dan diri mereka. Dan Allah mengetahui orang-orang yang bertakwa.",193,orang orang yang beriman kepada allah dan hari kemudian tidak akan meminta izin kepadamu untuk tidak ikut berjihad dengan ha a dan diri mereka dan allah mengetahui orang orang yang be akwa ,"['orang', 'orang', 'yang', 'beriman', 'kepada', 'allah', 'dan', 'hari', 'kemudian', 'tidak', 'akan', 'meminta', 'izin', 'kepadamu', 'untuk', 'tidak', 'ikut', 'berjihad', 'dengan', 'ha', 'a', 'dan', 'diri', 'mereka', 'dan', 'allah', 'mengetahui', 'orang', 'orang', 'yang', 'be', 'akwa']"
9,45,"Sesungguhnya yang akan meminta izin kepadamu, hanyalah orang-orang yang tidak beriman kepada Allah dan hari kemudian, dan hati mereka ragu-ragu, karena itu mereka selalu bimbang dalam keraguannya.",196,sesungguhnya yang akan meminta izin kepadamu hanyalah orang orang yang tidak beriman kepada allah dan hari kemudian dan hati mereka ragu ragu karena itu mereka selalu bimbang dalam keraguannya ,"['sesungguhnya', 'yang', 'akan', 'meminta', 'izin', 'kepadamu', 'hanyalah', 'orang', 'orang', 'yang', 'tidak', 'beriman', 'kepada', 'allah', 'dan', 'hari', 'kemudian', 'dan', 'hati', 'mereka', 'ragu', 'ragu', 'karena', 'itu', 'mereka', 'selalu', 'bimbang', 'dalam', 'keraguannya']"
9,46,"Dan jika mereka mau berangkat, tentulah mereka menyiapkan persiapan untuk keberangkatan itu, tetapi Allah tidak menyukai keberangkatan mereka, maka Allah melemahkan keinginan mereka. dan dikatakan kepada mereka: ""Tinggallah kamu bersama orang-orang yang tinggal itu"".",267,dan jika mereka mau berangkat tentulah mereka menyiapkan persiapan untuk keberangkatan itu tetapi allah tidak menyukai keberangkatan mereka maka allah melemahkan keinginan mereka dan dikatakan kepada mereka tinggallah kamu bersama orang orang yang tinggal itu ,"['dan', 'jika', 'mereka', 'mau', 'berangkat', 'tentulah', 'mereka', 'menyiapkan', 'persiapan', 'untuk', 'keberangkatan', 'itu', 'tetapi', 'allah', 'tidak', 'menyukai', 'keberangkatan', 'mereka', 'maka', 'allah', 'melemahkan', 'keinginan', 'mereka', 'dan', 'dikatakan', 'kepada', 'mereka', 'tinggallah', 'kamu', 'bersama', 'orang', 'orang', 'yang', 'tinggal', 'itu']"
9,47,"Jika mereka berangkat bersama-sama kamu, niscaya mereka tidak menambah kamu selain dari kerusakan belaka, dan tentu mereka akan bergegas maju ke muka di celah-celah barisanmu, untuk mengadakan kekacauan di antara kamu; sedang di antara kamu ada orang-orang yang amat suka mendengarkan perkataan mereka. Dan Allah mengetahui orang-orang yang zalim.",347,jika mereka berangkat bersama sama kamu niscaya mereka tidak menambah kamu selain dari kerusakan belaka dan tentu mereka akan bergegas maju ke muka di celah celah barisanmu untuk mengadakan kekacauan di antara kamu sedang di antara kamu ada orang orang yang amat suka mendengarkan perkataan mereka dan allah mengetahui orang orang yang zalim ,"['jika', 'mereka', 'berangkat', 'bersama', 'sama', 'kamu', 'niscaya', 'mereka', 'tidak', 'menambah', 'kamu', 'selain', 'dari', 'kerusakan', 'belaka', 'dan', 'tentu', 'mereka', 'akan', 'bergegas', 'maju', 'ke', 'muka', 'di', 'celah', 'celah', 'barisanmu', 'untuk', 'mengadakan', 'kekacauan', 'di', 'antara', 'kamu', 'sedang', 'di', 'antara', 'kamu', 'ada', 'orang', 'orang', 'yang', 'amat', 'suka', 'mendengarkan', 'perkataan', 'mereka', 'dan', 'allah', 'mengetahui', 'orang', 'orang', 'yang', 'zalim']"
9,48,"Sesungguhnya dari dahulupun mereka telah mencari-cari kekacauan dan mereka mengatur pelbagai macam tipu daya untuk (merusakkan)mu, hingga datanglah kebenaran (pertolongan Allah) dan menanglah agama Allah, padahal mereka tidak menyukainya.",238,sesungguhnya dari dahulupun mereka telah mencari cari kekacauan dan mereka mengatur pelbagai macam tipu daya untuk merusakkan mu hingga datanglah kebenaran pe olongan allah dan menanglah agama allah padahal mereka tidak menyukainya ,"['sesungguhnya', 'dari', 'dahulupun', 'mereka', 'telah', 'mencari', 'cari', 'kekacauan', 'dan', 'mereka', 'mengatur', 'pelbagai', 'macam', 'tipu', 'daya', 'untuk', 'merusakkan', 'mu', 'hingga', 'datanglah', 'kebenaran', 'pe', 'olongan', 'allah', 'dan', 'menanglah', 'agama', 'allah', 'padahal', 'mereka', 'tidak', 'menyukainya']"
9,49,"Di antara mereka ada orang yang berkata: ""Berilah saya keizinan (tidak pergi berperang) dan janganlah kamu menjadikan saya terjerumus dalam fitnah"". Ketahuilah bahwa mereka telah terjerumus ke dalam fitnah. Dan sesungguhnya Jahannam itu benar-benar meliputi orang-orang yang kafir.",281,di antara mereka ada orang yang berkata berilah saya keizinan tidak pergi berperang dan janganlah kamu menjadikan saya terjerumus dalam fitnah ketahuilah bahwa mereka telah terjerumus ke dalam fitnah dan sesungguhnya jahannam itu benar benar meliputi orang orang yang kafir ,"['di', 'antara', 'mereka', 'ada', 'orang', 'yang', 'berkata', 'berilah', 'saya', 'keizinan', 'tidak', 'pergi', 'berperang', 'dan', 'janganlah', 'kamu', 'menjadikan', 'saya', 'terjerumus', 'dalam', 'fitnah', 'ketahuilah', 'bahwa', 'mereka', 'telah', 'terjerumus', 'ke', 'dalam', 'fitnah', 'dan', 'sesungguhnya', 'jahannam', 'itu', 'benar', 'benar', 'meliputi', 'orang', 'orang', 'yang', 'kafir']"
9,50,"Jika kamu mendapat suatu kebaikan, mereka menjadi tidak senang karenanya; dan jika kamu ditimpa oleh sesuatu bencana, mereka berkata: ""Sesungguhnya kami sebelumnya telah memperhatikan urusan kami (tidak pergi perang)"" dan mereka berpaling dengan rasa gembira.",259,jika kamu mendapat suatu kebaikan mereka menjadi tidak senang karenanya dan jika kamu ditimpa oleh sesuatu bencana mereka berkata sesungguhnya kami sebelumnya telah memperhatikan urusan kami tidak pergi perang dan mereka berpaling dengan rasa gembira ,"['jika', 'kamu', 'mendapat', 'suatu', 'kebaikan', 'mereka', 'menjadi', 'tidak', 'senang', 'karenanya', 'dan', 'jika', 'kamu', 'ditimpa', 'oleh', 'sesuatu', 'bencana', 'mereka', 'berkata', 'sesungguhnya', 'kami', 'sebelumnya', 'telah', 'memperhatikan', 'urusan', 'kami', 'tidak', 'pergi', 'perang', 'dan', 'mereka', 'berpaling', 'dengan', 'rasa', 'gembira']"
9,51,"Katakanlah: ""Sekali-kali tidak akan menimpa kami melainkan apa yang telah ditetapkan Allah untuk kami. Dialah Pelindung kami, dan hanya kepada Allah orang-orang yang beriman harus bertawakal"".",192,katakanlah sekali kali tidak akan menimpa kami melainkan apa yang telah ditetapkan allah untuk kami dialah pelindung kami dan hanya kepada allah orang orang yang beriman harus be awakal ,"['katakanlah', 'sekali', 'kali', 'tidak', 'akan', 'menimpa', 'kami', 'melainkan', 'apa', 'yang', 'telah', 'ditetapkan', 'allah', 'untuk', 'kami', 'dialah', 'pelindung', 'kami', 'dan', 'hanya', 'kepada', 'allah', 'orang', 'orang', 'yang', 'beriman', 'harus', 'be', 'awakal']"
9,52,"Katakanlah: ""tidak ada yang kamu tunggu-tunggu bagi kami, kecuali salah satu dari dua kebaikan. Dan Kami menunggu-nunggu bagi kamu bahwa Allah akan menimpakan kepadamu azab (yang besar) dari sisi-Nya. Sebab itu tunggulah, sesungguhnya kami menunggu-nunggu bersamamu"".",267,katakanlah tidak ada yang kamu tunggu tunggu bagi kami kecuali salah satu dari dua kebaikan dan kami menunggu nunggu bagi kamu bahwa allah akan menimpakan kepadamu azab yang besar dari sisi nya sebab itu tunggulah sesungguhnya kami menunggu nunggu bersamamu ,"['katakanlah', 'tidak', 'ada', 'yang', 'kamu', 'tunggu', 'tunggu', 'bagi', 'kami', 'kecuali', 'salah', 'satu', 'dari', 'dua', 'kebaikan', 'dan', 'kami', 'menunggu', 'nunggu', 'bagi', 'kamu', 'bahwa', 'allah', 'akan', 'menimpakan', 'kepadamu', 'azab', 'yang', 'besar', 'dari', 'sisi', 'nya', 'sebab', 'itu', 'tunggulah', 'sesungguhnya', 'kami', 'menunggu', 'nunggu', 'bersamamu']"
9,53,"Katakanlah: ""Nafkahkanlah hartamu, baik dengan sukarela ataupun dengan terpaksa, namun nafkah itu sekali-kali tidak akan diterima dari kamu. Sesungguhnya kamu adalah orang-orang yang fasik.",189,katakanlah nafkahkanlah ha amu baik dengan sukarela ataupun dengan terpaksa namun nafkah itu sekali kali tidak akan diterima dari kamu sesungguhnya kamu adalah orang orang yang fasik ,"['katakanlah', 'nafkahkanlah', 'ha', 'amu', 'baik', 'dengan', 'sukarela', 'ataupun', 'dengan', 'terpaksa', 'namun', 'nafkah', 'itu', 'sekali', 'kali', 'tidak', 'akan', 'diterima', 'dari', 'kamu', 'sesungguhnya', 'kamu', 'adalah', 'orang', 'orang', 'yang', 'fasik']"
9,54,"Dan tidak ada yang menghalangi mereka untuk diterima dari mereka nafkah-nafkahnya melainkan karena mereka kafir kepada Allah dan Rasul-Nya dan mereka tidak mengerjakan sembahyang, melainkan dengan malas dan tidak (pula) menafkahkan (harta) mereka, melainkan dengan rasa enggan.",277,dan tidak ada yang menghalangi mereka untuk diterima dari mereka nafkah nafkahnya melainkan karena mereka kafir kepada allah dan rasul nya dan mereka tidak mengerjakan sembahyang melainkan dengan malas dan tidak pula menafkahkan ha a mereka melainkan dengan rasa enggan ,"['dan', 'tidak', 'ada', 'yang', 'menghalangi', 'mereka', 'untuk', 'diterima', 'dari', 'mereka', 'nafkah', 'nafkahnya', 'melainkan', 'karena', 'mereka', 'kafir', 'kepada', 'allah', 'dan', 'rasul', 'nya', 'dan', 'mereka', 'tidak', 'mengerjakan', 'sembahyang', 'melainkan', 'dengan', 'malas', 'dan', 'tidak', 'pula', 'menafkahkan', 'ha', 'a', 'mereka', 'melainkan', 'dengan', 'rasa', 'enggan']"
9,55,"Maka janganlah harta benda dan anak-anak mereka menarik hatimu. Sesungguhnya Allah menghendaki dengan (memberi) harta benda dan anak-anak itu untuk menyiksa mereka dalam kehidupan di dunia dan kelak akan melayang nyawa mereka, sedang mereka dalam keadaan kafir.",261,maka janganlah ha a benda dan anak anak mereka menarik hatimu sesungguhnya allah menghendaki dengan memberi ha a benda dan anak anak itu untuk menyiksa mereka dalam kehidupan di dunia dan kelak akan melayang nyawa mereka sedang mereka dalam keadaan kafir ,"['maka', 'janganlah', 'ha', 'a', 'benda', 'dan', 'anak', 'anak', 'mereka', 'menarik', 'hatimu', 'sesungguhnya', 'allah', 'menghendaki', 'dengan', 'memberi', 'ha', 'a', 'benda', 'dan', 'anak', 'anak', 'itu', 'untuk', 'menyiksa', 'mereka', 'dalam', 'kehidupan', 'di', 'dunia', 'dan', 'kelak', 'akan', 'melayang', 'nyawa', 'mereka', 'sedang', 'mereka', 'dalam', 'keadaan', 'kafir']"
9,56,"Dan mereka (orang-orang munafik) bersumpah dengan (nama) Allah, bahwa sesungguhnya mereka termasuk golonganmu; padahal mereka bukanlah dari golonganmu, akan tetapi mereka adalah orang-orang yang sangat takut (kepadamu).",219,dan mereka orang orang munafik bersumpah dengan nama allah bahwa sesungguhnya mereka termasuk golonganmu padahal mereka bukanlah dari golonganmu akan tetapi mereka adalah orang orang yang sangat takut kepadamu ,"['dan', 'mereka', 'orang', 'orang', 'munafik', 'bersumpah', 'dengan', 'nama', 'allah', 'bahwa', 'sesungguhnya', 'mereka', 'termasuk', 'golonganmu', 'padahal', 'mereka', 'bukanlah', 'dari', 'golonganmu', 'akan', 'tetapi', 'mereka', 'adalah', 'orang', 'orang', 'yang', 'sangat', 'takut', 'kepadamu']"
9,57,Jikalau mereka memperoleh tempat perlindunganmu atau gua-gua atau lobang-lobang (dalam tanah) niscaya mereka pergi kepadanya dengan secepat-cepatnya.,149,jikalau mereka memperoleh tempat perlindunganmu atau gua gua atau lobang lobang dalam tanah niscaya mereka pergi kepadanya dengan secepat cepatnya ,"['jikalau', 'mereka', 'memperoleh', 'tempat', 'perlindunganmu', 'atau', 'gua', 'gua', 'atau', 'lobang', 'lobang', 'dalam', 'tanah', 'niscaya', 'mereka', 'pergi', 'kepadanya', 'dengan', 'secepat', 'cepatnya']"
9,58,"Dan di antara mereka ada orang yang mencelamu tentang (distribusi) zakat; jika mereka diberi sebahagian dari padanya, mereka bersenang hati, dan jika mereka tidak diberi sebahagian dari padanya, dengan serta merta mereka menjadi marah.",235,dan di antara mereka ada orang yang mencelamu tentang distribusi zakat jika mereka diberi sebahagian dari padanya mereka bersenang hati dan jika mereka tidak diberi sebahagian dari padanya dengan se a me a mereka menjadi marah ,"['dan', 'di', 'antara', 'mereka', 'ada', 'orang', 'yang', 'mencelamu', 'tentang', 'distribusi', 'zakat', 'jika', 'mereka', 'diberi', 'sebahagian', 'dari', 'padanya', 'mereka', 'bersenang', 'hati', 'dan', 'jika', 'mereka', 'tidak', 'diberi', 'sebahagian', 'dari', 'padanya', 'dengan', 'se', 'a', 'me', 'a', 'mereka', 'menjadi', 'marah']"
9,59,"Jikalau mereka sungguh-sungguh ridha dengan apa yang diberikan Allah dan Rasul-Nya kepada mereka, dan berkata: ""Cukuplah Allah bagi kami, Allah akan memberikan sebagian dari karunia-Nya dan demikian (pula) Rasul-Nya, sesungguhnya kami adalah orang-orang yang berharap kepada Allah,"" (tentulah yang demikian itu lebih baik bagi mereka).",335,jikalau mereka sungguh sungguh ridha dengan apa yang diberikan allah dan rasul nya kepada mereka dan berkata cukuplah allah bagi kami allah akan memberikan sebagian dari karunia nya dan demikian pula rasul nya sesungguhnya kami adalah orang orang yang berharap kepada allah tentulah yang demikian itu lebih baik bagi mereka ,"['jikalau', 'mereka', 'sungguh', 'sungguh', 'ridha', 'dengan', 'apa', 'yang', 'diberikan', 'allah', 'dan', 'rasul', 'nya', 'kepada', 'mereka', 'dan', 'berkata', 'cukuplah', 'allah', 'bagi', 'kami', 'allah', 'akan', 'memberikan', 'sebagian', 'dari', 'karunia', 'nya', 'dan', 'demikian', 'pula', 'rasul', 'nya', 'sesungguhnya', 'kami', 'adalah', 'orang', 'orang', 'yang', 'berharap', 'kepada', 'allah', 'tentulah', 'yang', 'demikian', 'itu', 'lebih', 'baik', 'bagi', 'mereka']"
9,60,"Sesungguhnya zakat-zakat itu, hanyalah untuk orang-orang fakir, orang-orang miskin, pengurus-pengurus zakat, para muÂ´allaf yang dibujuk hatinya, untuk (memerdekakan) budak, orang-orang yang berhutang, untuk jalan Allah dan untuk mereka yuang sedang dalam perjalanan, sebagai suatu ketetapan yang diwajibkan Allah, dan Allah Maha Mengetahui lagi Maha Bijaksana.",361,sesungguhnya zakat zakat itu hanyalah untuk orang orang fakir orang orang miskin pengurus pengurus zakat para mu allaf yang dibujuk hatinya untuk memerdekakan budak orang orang yang berhutang untuk jalan allah dan untuk mereka yuang sedang dalam perjalanan sebagai suatu ketetapan yang diwajibkan allah dan allah maha mengetahui lagi maha bijaksana ,"['sesungguhnya', 'zakat', 'zakat', 'itu', 'hanyalah', 'untuk', 'orang', 'orang', 'fakir', 'orang', 'orang', 'miskin', 'pengurus', 'pengurus', 'zakat', 'para', 'mu', 'allaf', 'yang', 'dibujuk', 'hatinya', 'untuk', 'memerdekakan', 'budak', 'orang', 'orang', 'yang', 'berhutang', 'untuk', 'jalan', 'allah', 'dan', 'untuk', 'mereka', 'yuang', 'sedang', 'dalam', 'perjalanan', 'sebagai', 'suatu', 'ketetapan', 'yang', 'diwajibkan', 'allah', 'dan', 'allah', 'maha', 'mengetahui', 'lagi', 'maha', 'bijaksana']"
9,61,"Di antara mereka (orang-orang munafik) ada yang menyakiti Nabi dan mengatakan: ""Nabi mempercayai semua apa yang didengarnya"". Katakanlah: ""Ia mempercayai semua yang baik bagi kamu, ia beriman kepada Allah, mempercayai orang-orang mukmin, dan menjadi rahmat bagi orang-orang yang beriman di antara kamu"". Dan orang-orang yang menyakiti Rasulullah itu, bagi mereka azab yang pedih.",379,di antara mereka orang orang munafik ada yang menyakiti nabi dan mengatakan nabi mempercayai semua apa yang didengarnya katakanlah ia mempercayai semua yang baik bagi kamu ia beriman kepada allah mempercayai orang orang mukmin dan menjadi rahmat bagi orang orang yang beriman di antara kamu dan orang orang yang menyakiti rasulullah itu bagi mereka azab yang pedih ,"['di', 'antara', 'mereka', 'orang', 'orang', 'munafik', 'ada', 'yang', 'menyakiti', 'nabi', 'dan', 'mengatakan', 'nabi', 'mempercayai', 'semua', 'apa', 'yang', 'didengarnya', 'katakanlah', 'ia', 'mempercayai', 'semua', 'yang', 'baik', 'bagi', 'kamu', 'ia', 'beriman', 'kepada', 'allah', 'mempercayai', 'orang', 'orang', 'mukmin', 'dan', 'menjadi', 'rahmat', 'bagi', 'orang', 'orang', 'yang', 'beriman', 'di', 'antara', 'kamu', 'dan', 'orang', 'orang', 'yang', 'menyakiti', 'rasulullah', 'itu', 'bagi', 'mereka', 'azab', 'yang', 'pedih']"
9,62,"Mereka bersumpah kepada kamu dengan (nama) Allah untuk mencari keridhaanmu, padahal Allah dan Rasul-Nya itulah yang lebih patut mereka cari keridhaannya jika mereka adalah orang-orang yang mukmin.",196,mereka bersumpah kepada kamu dengan nama allah untuk mencari keridhaanmu padahal allah dan rasul nya itulah yang lebih patut mereka cari keridhaannya jika mereka adalah orang orang yang mukmin ,"['mereka', 'bersumpah', 'kepada', 'kamu', 'dengan', 'nama', 'allah', 'untuk', 'mencari', 'keridhaanmu', 'padahal', 'allah', 'dan', 'rasul', 'nya', 'itulah', 'yang', 'lebih', 'patut', 'mereka', 'cari', 'keridhaannya', 'jika', 'mereka', 'adalah', 'orang', 'orang', 'yang', 'mukmin']"
9,63,"Tidaklah mereka (orang-orang munafik itu) mengetahui bahwasanya barangsiapa menentang Allah dan Rasul-Nya, maka sesungguhnya nerakan jahannamlah baginya, kekal mereka di dalamnya. Itu adalah kehinaan yang besar.",211,tidaklah mereka orang orang munafik itu mengetahui bahwasanya barangsiapa menentang allah dan rasul nya maka sesungguhnya nerakan jahannamlah baginya kekal mereka di dalamnya itu adalah kehinaan yang besar ,"['tidaklah', 'mereka', 'orang', 'orang', 'munafik', 'itu', 'mengetahui', 'bahwasanya', 'barangsiapa', 'menentang', 'allah', 'dan', 'rasul', 'nya', 'maka', 'sesungguhnya', 'nerakan', 'jahannamlah', 'baginya', 'kekal', 'mereka', 'di', 'dalamnya', 'itu', 'adalah', 'kehinaan', 'yang', 'besar']"
